,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,player,move
21,R,.,.,R,.,.,K,.,.,.,P,.,.,P,P,P,.,.,.,Q,.,N,.,.,P,.,.,.,P,.,.,.,.,P,.,.,p,.,.,.,.,.,.,p,.,q,.,.,p,p,.,b,.,p,p,p,.,.,.,.,r,.,k,.,white,Qxd6
22,R,.,.,R,.,.,K,.,.,.,P,.,.,P,P,P,.,.,.,.,.,N,.,.,P,.,.,.,P,.,b,.,.,P,.,.,p,.,.,.,.,.,.,Q,.,q,.,.,p,p,.,.,.,p,p,p,.,.,.,.,r,.,k,.,white,Qxf6
23,R,.,.,R,.,.,K,.,.,.,P,.,.,P,P,P,.,.,.,.,.,N,.,.,P,.,.,.,P,.,b,.,.,P,.,.,p,.,.,.,.,.,.,.,.,p,.,.,p,p,.,.,.,p,.,p,.,.,.,.,r,.,k,.,white,Rd3
24,R,.,.,.,.,.,K,.,.,.,P,.,.,P,P,P,.,.,.,R,.,b,.,.,P,.,.,.,P,.,.,.,.,P,.,.,p,.,.,.,.,.,.,.,.,p,.,.,p,p,.,.,.,p,.,p,.,.,.,.,r,.,k,.,white,Rxf3
25,R,.,.,.,.,.,K,.,.,.,P,.,.,P,P,P,.,.,.,.,.,R,.,.,P,.,.,.,P,.,.,.,.,P,.,.,p,.,.,.,.,.,.,.,.,p,.,.,p,p,.,.,.,p,.,p,.,.,.,r,.,.,k,.,white,Rxf6
26,R,.,.,.,.,.,K,.,.,.,P,.,.,P,P,P,.,.,.,.,.,.,.,.,P,.,.,.,P,.,.,.,.,P,.,.,p,.,.,.,.,.,.,.,.,R,.,.,p,p,.,.,.,p,k,p,.,.,.,r,.,.,.,.,white,Rf3
27,R,.,.,.,.,.,K,.,.,.,P,r,.,P,P,P,.,.,.,.,.,R,.,.,P,.,.,.,P,.,.,.,.,P,.,.,p,.,.,.,.,.,.,.,.,.,.,.,p,p,.,.,.,p,k,p,.,.,.,.,.,.,.,.,white,Rg3+
28,R,.,.,.,.,.,K,.,.,.,P,r,.,P,P,P,.,.,.,.,.,.,R,.,P,.,.,.,P,.,.,.,.,P,.,.,p,.,.,.,.,.,.,.,.,.,.,.,p,p,.,.,.,p,.,p,.,.,.,.,.,k,.,.,white,c3
29,R,.,.,.,.,.,K,.,.,.,.,.,r,P,P,P,.,.,P,.,.,.,R,.,P,.,.,.,P,.,.,.,.,P,.,.,p,.,.,.,.,.,.,.,.,.,.,.,p,p,.,.,.,p,.,p,.,.,.,.,.,k,.,.,white,f3
30,R,.,.,.,.,.,K,.,.,.,r,.,.,.,P,P,.,.,P,.,.,P,R,.,P,.,.,.,P,.,.,.,.,P,.,.,p,.,.,.,.,.,.,.,.,.,.,.,p,p,.,.,.,p,.,p,.,.,.,.,.,k,.,.,white,Rg5
